Story,No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Justification
19-oakland-sues-SW-airlines,3.0,"“The City of Oakland is committed to protecting workers by ensuring that all employers in Oakland are complying with laws that protect their rights,” Parker said in a statement.  
",Named Person,Barbara Parker,City Attorney,
19-oakland-sues-SW-airlines,6.0,"According to the city attorney, Southwest didn’t restore those hours for all workers.",Named Person,Barbara Parker,City Attorney,
19-oakland-sues-SW-airlines,10.0,"In a press release, the city attorney said Southwest’s practices were especially detrimental during the COVID-19 pandemic, when workers were forced to report to work even when they were sick.
",Named Person,Barbara Parker,City Attorney,
19-oakland-sues-SW-airlines,11.0,"“We are grateful that the City of Oakland is holding Southwest accountable. We hope that Southwest policies and practices will finally change for good,” Eric Swygert, a Southwest employee and an elected ramp representative with the Transport Workers Union of America Local 555, said in a statement.
",Named Person,Eric Swygert,Elected ramp representative with the Transport Workers Union of America Local 555,Southwest employee
2-Best-DDR-player,1.0,It wasn't anything serious,Named Person,Chris Chike,,The greatest Dance Dance Revolution player in the world; he told Gazetteer SF over FaceTime from his home in Hayward
2-Best-DDR-player,2.0,I wasn't extremely good at the game or anything.,Named Person,Chris Chike,,The greatest Dance Dance Revolution player in the world; he told Gazetteer SF over FaceTime from his home in Hayward
2-Best-DDR-player,5.0,"“He's the GOAT,” according to friend Roger Clark, a San Francisco programmer and longtime DDR enthusiast. “Everybody knows it. No one would deny it.”
",Named Person,Roger Clark,,longtime DDR enthusiast. San Francisco programmer
2-Best-DDR-player,7.0,"He began earning endorsement deals, and was profiled in several mainstream news publications, telling the New York Times he wanted to buy a multi-thousand dollar DDR arcade cabinet. ",Named Person,Chris Chike,,The greatest Dance Dance Revolution player in the world; he told Gazetteer SF over FaceTime from his home in Hayward
2-Best-DDR-player,9.0,"I don’t think I would have any other reason to take it so seriously if it wasn’t for the community and the competition,",Named Person,Chris Chike,,the greatest Dance Dance Revolution player in the world.
2-Best-DDR-player,10.0,"You discover this group of people who’s really like-minded. It’s a really rare thing, because out in the normal world, there’s not a lot of people who think like me or have similar hobbies or have the grinder mentality for video games like me",Named Person,Chris Chike,,the greatest Dance Dance Revolution player in the world.
2-Best-DDR-player,12.0,"“Whenever you meet someone who plays DDR, you kind of don't really care that much what they're doing outside of the game, right?” Clark said. ",Named Person,Roger Clark,,"longtime DDR enthusiast. San Francisco programmer; The two first met in person at the Ohio tournament, then grew close once they both lived in the Bay Area. "
2-Best-DDR-player,13.0,"In all of his years of knowing Chike, he could not recall a time when they'd talked about their jobs, despite both spending years working in the tech industry here.",Named Person,Roger Clark,,"longtime DDR enthusiast. San Francisco programmer; The two first met in person at the Ohio tournament, then grew close once they both lived in the Bay Area. "
2-Best-DDR-player,14.0,"It’s something that few other elite Dance Dance Revolution players really bother with, Clark said. ",Named Person,Roger Clark,,"longtime DDR enthusiast. San Francisco programmer; The two first met in person at the Ohio tournament, then grew close once they both lived in the Bay Area. "
2-Best-DDR-player,15.0,"“How someone can even have the physical stamina to do that let alone have the mental fortitude to continue when one tiny mistake is the end of the run … it’s hard to even come up with words for this kind of thing,” Clark said. “It's literally Olympics level, astronaut level.”",Named Person,Roger Clark,,longtime DDR enthusiast. San Francisco programmer
2-Best-DDR-player,16.0,"“I was, like, I get to quit and have severance at the same time — it was almost a win-win, ‘cause I was already a little bit checked out,” he said.",Named Person,Chris Chike,,the greatest Dance Dance Revolution player in the world.
2-Best-DDR-player,17.0,"Chike told Gazetteer he’s saved enough to keep him afloat for a few years, helped along by the occasional brand deal. ",Named Person,Chris Chike,,the greatest Dance Dance Revolution player in the world.
2-Best-DDR-player,18.0,"“I don't think I can physically do this forever,” he said. “I'm getting up there, I just turned 33 this week. So I'm just taking advantage of it while I can.”",Named Person,Chris Chike,,the greatest Dance Dance Revolution player in the world.
2-Best-DDR-player,19.0,"The mixture of talent, endurance, and the good fortune of coming up at DDR’s peak is a one-in-a-million combination, as his friend Clark proudly pointed out.",Named Person,Roger Clark,,longtime DDR enthusiast. San Francisco programmer
2-Best-DDR-player,20.0,"“This is the best that anyone in the human race could possibly achieve at this thing,” Clark told Gazetteer.",Named Person,Roger Clark,,longtime DDR enthusiast. San Francisco programmer
20-bill-easier-access,2.0,"Sen. Cortese said that SB 1015 ensures that the state meets the growing demand in the nursing field.
",Named Person,Dave Cortese,"Senator, (D-San Jose)",
20-bill-easier-access,3.0,"“As California’s population ages and becomes increasingly more diverse, we will need a qualified and experienced nursing workforce to meet the unique demands and varied needs of all patients. That is why we must have appropriate nurse staffing levels which have proven to reduce mortality rates, reduce hospital length of stays, and reduce the number of preventable events such as falls and infections,” said Cortese.
",Named Person,Dave Cortese,"Senator, (D-San Jose)",
20-bill-easier-access,6.0,"Cathy Kennedy, a Registered Nurse and president of the CNA, said that SB 1015 helps nursing students receive a clinical education and placement amid the nationwide staffing crisis, despite their socioeconomic background.
",Named Person,Cathy Kennedy,"Registered Nurse, and President, California Nurses Assocation",
20-bill-easier-access,7.0,"“Clinical education is an essential part of any nurse’s education, yet aspiring nurses, especially students in public programs, are being denied access to clinical placements,” said Kennedy.
",Named Person,Cathy Kennedy,"Registered Nurse, and President, California Nurses Assocation",
20-bill-easier-access,8.0,"“We applaud the California Senate for passing S.B. 1015. It is commonsense reform that will increase transparency and increase oversight from the Board of Registered Nursing,” she added.
",Named Person,Cathy Kennedy,"Registered Nurse, and President, California Nurses Assocation",
21-trump-kamala-mispronounce,1.0,"However, during a 2020 interview with Trevor Noah on The Daily Show, she addressed the issue with grace and insight. Harris explained that a name is a precious gift from one’s family, rooted in tradition, love, and hope. She emphasized that respecting the significance of names honors those values, while mocking or mispronouncing them is childish and reflects a lack of maturity and respect.",Named Person,Kamala Harris,Vice President,
21-trump-kamala-mispronounce,2.0,"“That the highest elected leaders should conduct themselves like they did when they were children on the playground, it speaks poorly of their appreciation for the responsibility of the role that they have,” Harris said to Noah. “And I think it’s a reflection of their values and their maturity.”",Named Person,Kamala Harris,Vice President,
21-trump-kamala-mispronounce,3.0,"Harris added, “I don’t pay attention to the name-calling, Trevor. There’s some of us who have lived a lifetime of being called names. It is predictable, it is childish, and it will not distract me.”",Named Person,Kamala Harris,Vice President,
22-Judge-rules-breona-taylor,1.0,"As a result, the injured officer and two other plainclothes officers returned fire for “self-protection,” the judge ruled
",Named Person,Charles R. Simpson III ,U.S. District Judge ,
22-Judge-rules-breona-taylor,4.0,"Christopher 2X, a longtime community organizer, and friend of Taylor’s family, said, “I was just thinking about her mother [Tamika Palmer] in regards to how she would interpret that particular ruling by the judge.” 
",Named Person,Christopher 2X,"Founder, Game Changers, community organizer","a longtime community organizer, and friend of Taylor’s family"
22-Judge-rules-breona-taylor,2.0,"“It’s just more pain on top of pain, and unfortunately, that’s the way the court system goes,” he said.
",Named Person,Christopher 2X,"Founder, Game Changers, community organizer",
22-Judge-rules-breona-taylor,3.0,"At a rally in Charlotte, North Carolina, former President Donald Trump pledged to combat police violence by giving police “back their power,” in part by limiting federal oversight over local police departments and strengthening qualified immunity.

",Named Person,Donald Trump,Former President,
22-Judge-rules-breona-taylor,4.0,"Christopher 2X said Harris should talk more on the campaign trail about policing reforms. “With this ruling by Judge Simpson, the conversation of police reform keeps going on. There’s no backtracking in this conversation. People can, in the most civil way, have the conversation, debate about it, [especially] when these incidents are right in front of your face, the ruling is right in front of your face, the conversation doesn’t stop,” Christopher 2X said. ",Named Person,Christopher 2X,"Founder, Game Changers, community organizer",
22-Judge-rules-breona-taylor,5.0,"The founder of Game Changers, a nonprofit organization dedicated to educating children about violence in order to end violence in the long term, Christopher 2X said Harris should answer questions about policing reform just like it was a question about the economy. ",Named Person,Christopher 2X,"Founder, Game Changers, community organizer","The founder of Game Changers, a nonprofit organization dedicated to educating children about violence in order to end violence in the long term"
22-Judge-rules-breona-taylor,6.0,"“She’s a former prosecutor. I believe, respectfully, that she should talk about it (police reform) with force, and with great understanding of the atmosphere that’s still asking for that conversation,” Christopher 2X said, adding, “She should be willing and ready to address this whole issue that still, there’s no answers to.”",Named Person,Christopher 2X,"Founder, Game Changers, community organizer","The founder of Game Changers, a nonprofit organization dedicated to educating children about violence in order to end violence in the long term"
22-Judge-rules-breona-taylor,11.0,"Hawk Newsome, co-founder of Black Lives Matter of Greater New York and Black Opportunities, wrote in an email to Capital B that the organization’s Black Agenda 2024 consists of dozens of proposed policies created by a multigenerational group of leaders from across the country, and for people who “don’t attend your churches or community meetings, engage in local politics, or take your polls.”",Named Person,Hawk Newsome,"co-founder, Black Lives Matter, Greater New York and Black Opportunities",
22-Judge-rules-breona-taylor,12.0,The agenda addresses ending qualified immunity to allow families of police violence to personally sue an officer in question. It also calls to “declare a war on poverty” to reallocate funds from “ineffective public initiatives — including law enforcement — to address the social determinants of health.”,Named Person,Hawk Newsome,"co-founder, Black Lives Matter, Greater New York and Black Opportunities",
22-Judge-rules-breona-taylor,13.0,"If the latter goes in effect, “it would prevent the necessity for cases like Breonna Taylor’s because we would be attacking the root cause of crime, which brings down crime rates,” Newsome said, adding, “Less crime means politicians are less likely to allow illegal and overzealous policing.”
",Named Person,Hawk Newsome,co-founder of Black Lives Matter of Greater New York and Black Opportunities,
23-black-landowners-11mins,1.0,"Shaw, the chairman of the board, provided the only comment: “I would like to say this has been a long, difficult case, and I want to thank all the parties, and especially thank our staff for the diligence, hard work, and all the parties for just the professionalism and decorum shown on this case.”",Named Person,Jason Shaw,"Chairman of the board, Georgia Public Service Commission ",
23-black-landowners-11mins,3.0,"Blaine Smith, a Black man who is one of the heirs of 600 acres that came into their family in the 1920s, said in a statement: “We’re determined to keep fighting against this attempt to take our ancestral land from us.”",Named Person,Blaine Smith,,a Black man who is one of the heirs of 600 acres that came into their family in the 1920s
23-black-landowners-11mins,4.0,"“We want to keep our property whole, so we can pass it down to our children and they can continue to build generational wealth,” Smith added.",Named Person,Blaine Smith,,a Black man who is one of the heirs of 600 acres that came into their family in the 1920s
23-black-landowners-11mins,6.0,"“As Black people, ownership of land and property is more valuable than a dollar amount because it allows a certain type of economic freedom that we are often deprived of,” attorney Sharika Robinson told Capital B last year. “I don’t know what is ‘just’ about replacing that economic liberty with a dollar amount that will not increase in value.”",Named Person,Sharika Robinson,attorney,
23-black-landowners-11mins,7.0,"“Georgia law does not permit a private company to take land through eminent domain unless the land will be put to a public use,” said Bill Maurer, senior attorney for Institute for Justice who represents the landowners. “Building a rail spur that will only be used by a few private companies, and not the public at large, is not a public use. We look forward to making it clear to the court that the [Public Service Commission] made an error in considering Sandersville’s land grab as a public use.”",Named Person,Bill Maurer,senior attorney for Institute for Justice,"The property owners are represented by the nonprofit Institute for Justice, a public interest law firm. 
"
23-black-landowners-11mins,8.0,"Benjamin Tarbutton III, the owner of Sandersville Railroad, has contended this development is expected to create 20 temporary construction jobs, a dozen permanent jobs with an average salary and benefits package of $90,000, and generate over $1.5 million annually for Hancock County.",Named Person,Benjamin Tarbutton III,"Owner, Sandersville Railroad",
23-black-landowners-11mins,10.0,"There are also environmental concerns, said Jamie Rush, senior staff attorney with the Southern Poverty Law Center’s Economic Justice Project who represents the No Railroad In Our Community Coalition, a coalition of residents who aren’t losing their property to the railroad but will be affected by the train.",Named Person,Jamie Rush,"senior staff attorney, Southern Poverty Law Center’s Economic Justice Project",who represents the No Railroad In Our Community Coalition
23-black-landowners-11mins,11.0,"“The reality is if you’ve ever lived near a train, or you’ve ever ridden on a train or been near a train, it’s not the same as trucks driving by,” Rush said last year. “Even if the train is not going through your property, the fact that a train is near your property — all of the noise pollution, the vibrations of a train … all of that affects your property value, your peace of mind and your home.”",Named Person,Jamie Rush,"senior staff attorney, Southern Poverty Law Center’s Economic Justice Project",who represents the No Railroad In Our Community Coalition
23-black-landowners-11mins,13.0,"“The proposed condemnation … serves a legitimate public purpose and is necessary for the proper accommodation of the business,” Bond wrote. “The petition of Sandersville Railroad, as amended, is granted.”",Named Person,Thomas K. Bond,"hearing officer,  Georgia Public Service Commission",
24-what-happens-to-migrants,2.0,Trump has falsely claimed asylum seekers have contributed to a surge in “migrant crime” and has vowed to restrict asylum and the border. ,Named Person,Donald Trump,Former President,
24-what-happens-to-migrants,4.0,"Brian Manning, a political asylum lawyer and former government asylum officer, said that asylum could be impacted by a second Trump presidency more drastically than before. 
",Named Person,Brian Manning,"political asylum lawyer, former government asylum officer",
24-what-happens-to-migrants,5.0,"During his 2024 presidential campaign, Trump has on multiple occasions falsely claimed an increase in migrant crime, tying it to the arrival of asylum seekers. During a Bronx rally in May, Trump emphasized the need for a border wall and increased border security. 
",Named Person,Donald Trump,Former President,
24-what-happens-to-migrants,6.0,"“There is concern that they’ll [asylum restrictions] actually be implemented more effectively. Last time, he didn’t expect to win and didn’t have a professional class built around him that could actually get things done in government in general,” Manning said. He added that now Trump could surround himself with people who can push for policies that would stand in court, as opposed to the executive actions that were challenged during the first administration. 
",Named Person,Brian Manning,"political asylum lawyer, former government asylum officer",
24-what-happens-to-migrants,7.0,"“It is safe to assume that after the many missteps of his first presidency, that his administration would be better equipped to learn from their past mistakes and more effectively attack immigrant communities from the White House,” Marlene Galaz, Director of Immigrant Rights Policy, New York Immigration Coalition, said. 
",Named Person,Marlene Galaz,"Director of Immigrant Rights Policy, New York Immigration Coalition",
24-what-happens-to-migrants,8.0,"Another possible impact of Trump’s second administration on asylum depends on whether or not Trump goes along with Project 2025, Manning said. ",Named Person,Brian Manning,"political asylum lawyer, former government asylum officer",
24-what-happens-to-migrants,9.0,"“The stuff about immigration is pretty severe. There are talks around the Project 2025 crowd about eliminating work authorization for asylum seekers, getting rid of TPS, Temporary Protected Status,” Manning said. 
",Named Person,Brian Manning,"political asylum lawyer, former government asylum officer",
24-what-happens-to-migrants,10.0,"“We anticipate the president, Trump, to use its executive authority to implement these policies — but again, we anticipate we should be able to challenge,” Nils Kinuani, Federal Policy Manager at African Communities Together (ACT), said. He added that in the past ACT and other partner organizations have successfully challenged Trump’s policies through litigation. 
",Named Person,Nils Kinuani,"Federal Policy Manager, African Communities Together (ACT)",
24-what-happens-to-migrants,11.0,"Kinuani also explained that if Trump were to pass policies through Congress that limit asylum, which he said is unlikely, then it is harder to challenge. “It is not impossible but it becomes harder to challenge that. But, again … it is very unlikely given the current political climate.”
",Named Person,Nils Kinuani,"Federal Policy Manager, African Communities Together (ACT)",
25-ballot-access-trans,3.0,"“There is a chilling effect,” said Lauren Kunis, CEO and executive director of VoteRiders, which helps voters obtain identification. “There is an unsafe and intimidating environment around existing as trans in society, and definitely in being able to go to the polls safely and cast a ballot.”
",Named Person,Lauren Kunis,CEO and executive director of VoteRiders,"In eight battleground states, the nonprofit VoteRiders is on the ground helping voters get the identification they need to cast ballots in the November election — and one that reflects who they are. 
"
25-ballot-access-trans,4.0,"“A lot is falling on poll workers to correctly enforce the law,” Kunis added. “And I would argue that is less of a solid protection in states where anti-trans rhetoric is skyrocketing.”
",Named Person,Lauren Kunis,CEO and executive director of VoteRiders,"In eight battleground states, the nonprofit VoteRiders is on the ground helping voters get the identification they need to cast ballots in the November election — and one that reflects who they are. 
"
25-ballot-access-trans,6.0,He described Democratic vice presidential nominee Tim Walz recently as “very heavy into the transgender world.” ,Named Person,former President,,"Anti-transgender rhetoric was front and center at the Republican National Convention in July, and Trump has taken to verbally targeting transgender people in his campaign. "
25-ballot-access-trans,8.0,"“Trans votes count,” said Ankit Rastogi, director of research for the National Center for Transgender Equality, which conducted the survey and will soon be known as Advocates for Trans Equality Education Fund. “I think the big takeaway is that our community is really trying to come out and make a difference through the democratic process.”
",Named Person,Ankit Rastogi,"director of research, National Center for Transgender Equality",which conducted the survey
25-ballot-access-trans,9.0,"Forcing a person to show identification that does not align with their gender identity could out them to people in their community, as Lucas Cameron-Vaughn, an attorney for the ACLU of Tennessee, explained.
",Named Person,Lucas Cameron-Vaughn,"Attorney, ACLU of Tennessee","Those that intentionally target government identification that people use in everyday life, like driver’s licenses, are particularly challenging."
25-ballot-access-trans,10.0,"“Trans people, just like everyone else, want to be able to travel, start new jobs, open bank accounts, enroll in school, vote — all of those things require some form of ID. And so when a state goes out of its way to enforce its message about its belief about sex and gender on a license, and transgender people then have to publicize that when they show other people, it creates a dangerous environment,” he said.
",Named Person,Lucas Cameron-Vaughn,"Attorney, ACLU of Tennessee",
25-ballot-access-trans,14.0,"“It’s a tactic that’s designed to splinter support for trans rights and suggest sort of who is harmed by protecting trans people — to frame that as cisgender women being the people harmed by protections for trans people,” said Rose Saxe, who is deputy project director for the ACLU’s LGBT & HIV Project.
",Named Person,Rose Saxe,"deputy project director, ACLU’s LGBT & HIV Project","politicians supporting these policies frame them as protecting cisgender women.
"
25-ballot-access-trans,18.0,"“The states with the anti-trans laws are also the ones that are more likely to be passing anti-voter laws, full stop,” Kunis said.
",Named Person,Lauren Kunis,CEO and executive director of VoteRiders,"In eight battleground states, the nonprofit VoteRiders is on the ground helping voters get the identification they need to cast ballots in the November election — and one that reflects who they are. 
"
25-ballot-access-trans,20.0,"But the new gender marker regulation signals yet another way that state agencies in Florida have overstepped their bounds and been “weaponized” to target transgender Floridians, they argued.
",Named Person,Quinn Diaz,"public policy associate, advocacy group Equality Florida","Diaz, who is transgender, moved to Florida from Massachusetts, where they had an “X” gender marker on their driver’s license. Because they didn’t have all the necessary documentation and weren’t established yet with a local provider when they transferred their license to Florida, they forfeited that marker and defaulted to a license with their sex assigned at birth. 
"
25-ballot-access-trans,21.0,"“We saw it as a move to inflict maximum chaos and misunderstanding,” Diaz said. “And really to scare trans folks from even participating and getting the license if they needed to update it.”
",Named Person,Quinn Diaz,"public policy associate, advocacy group Equality Florida","Diaz, who is transgender, moved to Florida from Massachusetts, where they had an “X” gender marker on their driver’s license. Because they didn’t have all the necessary documentation and weren’t established yet with a local provider when they transferred their license to Florida, they forfeited that marker and defaulted to a license with their sex assigned at birth. 
"
25-ballot-access-trans,22.0,"“With these laws in Florida, you’re forced to choose between living authentically and just not really participating in public life,” Diaz said. 
",Named Person,Quinn Diaz,public policy associate at advocacy group Equality Florida,"Diaz, who is transgender, moved to Florida from Massachusetts, where they had an “X” gender marker on their driver’s license. Because they didn’t have all the necessary documentation and weren’t established yet with a local provider when they transferred their license to Florida, they forfeited that marker and defaulted to a license with their sex assigned at birth. 
"
25-ballot-access-trans,23.0,"Diaz said they didn’t have any problems voting in person in the 2022 midterms, but they plan to vote by mail this November.
",Named Person,Quinn Diaz,public policy associate at advocacy group Equality Florida,"Diaz, who is transgender, moved to Florida from Massachusetts, where they had an “X” gender marker on their driver’s license. Because they didn’t have all the necessary documentation and weren’t established yet with a local provider when they transferred their license to Florida, they forfeited that marker and defaulted to a license with their sex assigned at birth. 
"
25-ballot-access-trans,24.0,"“I can imagine that a lot of trans folks in Florida who might not have access … to an accurate and affirming ID might not want to engage in that process at all, especially in such a heightened political environment,” Diaz said.
",Named Person,Quinn Diaz,public policy associate at advocacy group Equality Florida,"Diaz, who is transgender, moved to Florida from Massachusetts, where they had an “X” gender marker on their driver’s license. Because they didn’t have all the necessary documentation and weren’t established yet with a local provider when they transferred their license to Florida, they forfeited that marker and defaulted to a license with their sex assigned at birth. 
"
25-ballot-access-trans,25.0,"“Gender nonconforming people are already under such public scrutiny nationwide,” Diaz said. “That’s when you’re gonna see the convergence of those two elements. It really seems like it would only result in more discrimination, more discomfort for trans people, more interrogation and potentially just being turned away.” 
",Named Person,Quinn Diaz,public policy associate at advocacy group Equality Florida,"Diaz, who is transgender, moved to Florida from Massachusetts, where they had an “X” gender marker on their driver’s license. Because they didn’t have all the necessary documentation and weren’t established yet with a local provider when they transferred their license to Florida, they forfeited that marker and defaulted to a license with their sex assigned at birth. 
"
25-ballot-access-trans,26.0,"Hazel Krebs, a 42-year-old transgender woman living in Kansas, one of the states with a new anti-trans law, felt the weight of that increased scrutiny as she cast her ballot in March. Krebs wondered whether her identification — one that for weeks no longer reflected her gender identity — might impact her ability to vote.
",Named Person,Hazel Krebs,,"a 42-year-old transgender woman living in Kansas, one of the states with a new anti-trans law"
25-ballot-access-trans,27.0,"“They won’t stop me, but I can see how it would stop others,” she said. “It is almost certainly stopping some people from showing up at the polls.”
",Named Person,Hazel Krebs,,"a 42-year-old transgender woman living in Kansas, one of the states with a new anti-trans law"
25-ballot-access-trans,28.0,"While the driver’s license is the most ubiquitous form of identification in the United States’ car-centric society, Kunis wants to dispel the “common misconception” that it’s the only form of ID people can use to vote. 
",Named Person,Lauren Kunis,CEO and executive director of VoteRiders,"In eight battleground states, the nonprofit VoteRiders is on the ground helping voters get the identification they need to cast ballots in the November election — and one that reflects who they are. 
"
25-ballot-access-trans,29.0,"In addition to using passports as identification, Diaz said that Florida voters have the option to vote by mail, vote early in person and bring a friend or family member to the polls.
",Named Person,Quinn Diaz,public policy associate at advocacy group Equality Florida,"Diaz, who is transgender, moved to Florida from Massachusetts, where they had an “X” gender marker on their driver’s license. Because they didn’t have all the necessary documentation and weren’t established yet with a local provider when they transferred their license to Florida, they forfeited that marker and defaulted to a license with their sex assigned at birth. 
"
25-ballot-access-trans,30.0,"“Our ability to participate in this democracy in Florida, it’s been on the line for a while,” Diaz said. Transgender people, they said, are being “forced to choose between participating in our greatest civic right or just sitting out because the state doesn’t see us for who we are.”
",Named Person,Quinn Diaz,public policy associate at advocacy group Equality Florida,"Diaz, who is transgender, moved to Florida from Massachusetts, where they had an “X” gender marker on their driver’s license. Because they didn’t have all the necessary documentation and weren’t established yet with a local provider when they transferred their license to Florida, they forfeited that marker and defaulted to a license with their sex assigned at birth. 
"
25-ballot-access-trans,31.0,"“Something that’s very frustrating for us at VoteRiders is you will never be able to capture the number of people who do not feel safe voting, and who therefore stay home. And you also won’t be able to capture the people who are trans and show up to try and vote and are turned away.” Kunis said. “And we know that is happening, but it is difficult to quantify.”
",Named Person,Lauren Kunis,CEO and executive director of VoteRiders,"In eight battleground states, the nonprofit VoteRiders is on the ground helping voters get the identification they need to cast ballots in the November election — and one that reflects who they are. 
"
25-ballot-access-trans,32.0,"Cameron-Vaughn said he also worries about a scenario where a trans person is stopped at a polling place because of mismatching information on their identification and must fill out a provisional ballot — a voting option that often requires a person to return at a later date with more documentation to ensure their vote is counted.
",Named Person,Lucas Cameron-Vaughn,"Attorney, ACLU of Tennessee",
25-ballot-access-trans,33.0,"“There are definitely the physical dangers, the dangers for harassment, discrimination — but also ultimately, voter suppression,” he said. 
",Named Person,Lucas Cameron-Vaughn,"Attorney, ACLU of Tennessee",
25-ballot-access-trans,34.0,"Josie Caballero, director of voting and elections for the group that conducted the 2022 U.S. Transgender Survey, said it’s important to remember that barriers to voting existed for trans people before the latest slate of laws and rules targeting sex classification, particularly around voter ID rules.",Named Person,Josie Caballero,"director of voting and elections, National Center for Transgender Equality",
25-ballot-access-trans,35.0,"“It really shows the resiliency of the trans community to ensure that our voices are heard and we have visibility at the ballot box,” she said.
",Named Person,Josie Caballero,"director of voting and elections, National Center for Transgender Equality",
25-ballot-access-trans,36.0,"Krebs, who plans to vote in November, is worried about how the dynamics of a crowded polling site might impact her ability to vote. But she is determined to access the ballot, and to stay in Kansas despite the heightened scrutiny.
",Named Person,Hazel Krebs,,"a 42-year-old transgender woman living in Kansas, one of the states with a new anti-trans law"
25-ballot-access-trans,37.0,"“There’s nothing these laws will do to stop me from living my best life,” she said. “It just puts my energy and passion towards making this place better for me and other trans people.”
",Named Person,Hazel Krebs,,"a 42-year-old transgender woman living in Kansas, one of the states with a new anti-trans law"
26-biden-harris-11M,1.0,"“Being multilingual is a superpower—a powerful asset that can connect students to their identity and culture, and gives those who speak more than one language cognitive, social, and economic benefits,” said U.S. Secretary of Education Miguel Cardona, “The investments we’re announcing today advance our goal of providing every student in America with a pathway to multilingualism by supporting the recruitment, preparation, and retention of amazing bilingual and multilingual educators—some of the best teachers in our nation, period. They also support the revitalization of Native American languages, a reflection of this Administration’s commitment to Tribal sovereignty and consultation in education.”",Named Person,Miguel Cardona,U.S. Secretary of Education,"On Tuesday, the U.S. Department of Education (Department) announced over $11 million in grants to support the recruitment and retention of bilingual and multilingual educators and provide high quality programming to Native students in an effort to strengthen and revitalize Native American languages."
27-general-assembly-landlords,2.0,"“It just shortens the whole timeline in which a person can lose their home,” said Brian Rees, a staff attorney at The Works Inc. nonprofit who has represented hundreds of tenants in eviction proceedings in recent years. “Things (can now) happen very, very quickly.”
",Named Person,Brian Rees,"staff attorney, The Works Inc",who has represented hundreds of tenants in eviction proceedings in recent years. 
27-general-assembly-landlords,3.0,"If the governor signed it, Henderson said, it would have “devastating” consequences for renters.",Named Person,Deborah Henderson,Judge,"House Bill 2267, which cut tenants’ right to a continuance in half, hadn’t yet been signed by Gov. Bill Lee. "
27-general-assembly-landlords,5.0,"“Landlords have always had a very strong lobbying group,” she said. 
",Named Person,Deborah Henderson,Judge,
27-general-assembly-landlords,6.0,"In the statement, Swann said the bill will help landlords free up apartments more quickly for the thousands of Tennesseeans seeking a home. He also said it would help the apartment industry develop new apartments, but he didn’t make clear how it would. 
",Named Person,Art Swann,Sen. (R-Maryville),"Art Swann (R-Maryville), who sponsored the legislation in the Senate, provided MLK50 with a statement but did not respond to follow-up questions."
27-general-assembly-landlords,8.0,"While the difference of a week may not seem like much, Rees said it can really matter for these renters since the pathways to avoiding eviction can take time to figure out.
",Named Person,Brian Rees,"staff attorney, The Works Inc",who has represented hundreds of tenants in eviction proceedings in recent years. 
27-general-assembly-landlords,9.0,"“It’s disheartening to see them make a change that will affect families who are struggling,” Rees said.
",Named Person,Brian Rees,"staff attorney, The Works Inc","Additionally, programs designed to help low-income renters, such as legal aid or rental assistance, often take days or weeks to approve requests. And if renters aren’t able to get help, the apartment complexes they turn to for shelter may not be quick to process their applications."
27-general-assembly-landlords,10.0,"“(TAR) has the connection with a lot of legislators, especially on the commerce committee, where this was going to be,” Thompson said. “(And) they were just ironclad.”",Named Person,Dwayne Thompson,Rep. (D-Cordova) ,"This session, Thompson thought he had a shot at amending state law to let Memphis join its peer in Middle Tennessee — until he realized the Tennessee Association of Realtors was dead set against him, no matter what compromises he offered them. "
27-general-assembly-landlords,11.0,"During the subcommittee hearing, Shelby County Commissioner Erika Sugarmon and City of Memphis Division of Public Works director Robert Knecht endorsed it and two landlord representatives spoke against it.",Named Person,Erika Sugarmon,Shelby County Commissioner,
27-general-assembly-landlords,12.0,"During the subcommittee hearing, Shelby County Commissioner Erika Sugarmon and City of Memphis Division of Public Works director Robert Knecht endorsed it and two landlord representatives spoke against it.",Named Person,Robert Knecht,City of Memphis Division of Public Works director,
27-general-assembly-landlords,14.0,Thompson told the subcommittee that registration had worked well for Nashville but failed to convince them. ,Named Person,Dwayne Thompson,Rep. (D-Cordova) ,"This session, Thompson thought he had a shot at amending state law to let Memphis join its peer in Middle Tennessee — until he realized the Tennessee Association of Realtors was dead set against him, no matter what compromises he offered them. "
27-general-assembly-landlords,15.0,"Rep. Pat Marsh (R-Shelbyville) said he opposed the bill because he doubted bad landlords would comply with it, making it ineffective.",Named Person,Pat Marsh,Rep. (R-Shelbyville) ,
27-general-assembly-landlords,16.0,"“How are you going to find the (bad actors)? It looks to me like the good people will do it but the bad people aren’t going to change,” Marsh said during the subcommittee hearing.",Named Person,Pat Marsh,Rep. (R-Shelbyville) ,
27-general-assembly-landlords,17.0,"Given TAR’s opposition and the legislature itself having recently moved “much farther to the right,” in his experience, Thompson said a Shelby County rental registry is “probably not in the cards, for several years anyway.” Though he’s not running for reelection, he’s hopeful whoever succeeds him will be able to find other ways to help cities deal with slumlords.",Named Person,Dwayne Thompson,Rep. (D-Cordova) ,"This session, Thompson thought he had a shot at amending state law to let Memphis join its peer in Middle Tennessee — until he realized the Tennessee Association of Realtors was dead set against him, no matter what compromises he offered them. "
